path,key,label,category,status,source_system,source_sheet,source_address,source_label,target_v15_sheet,target_v15_address,target_v15_label,notes
metadata,property_name,Property Name,metadata,mapped,mf_rr,Hidden Lakes,A3,Property name in RR header block (also in AR/T12 headers),Prop Info,B4,Property Name,"Drives Cover!B5, every sheet title (=IF('Prop Info'!B4=""""...)), and the Rent Roll Analysis / T-12 Analysis health checks. Present in all four operator doc header blocks."
metadata,units_total,Total Units,metadata,mapped,derived,,,,Prop Info,B6,# Units,"Prop Info!B6 is the denominator for occupancy %, PUPM, and the Rent Roll Analysis G5 reconciliation (RR count I5 must equal B6)."
metadata,rr_period_date,Rent Roll period / as-of date,metadata,proposed,mf_rr,Hidden Lakes,A4,'Apr 2026' (as-of 4/16/2026),Rent Roll Analysis,A5,Date:,RR Analysis A5 'Date:' label cell. Exact target cell for the value (vs label) to be confirmed when the writer is built.
metadata,t12_period,T-12 period range,metadata,proposed,mf_t12,Hidden Lakes,A5,'Apr 2025 - Mar 2026',T-12 Analysis,C105,monthly header start,Drives the 12 monthly column headers on T-12 Analysis Layer 1 (C105:N105). The T-12 monthly columns and period must align with the operator's actual months.
rent_roll,rr_bldg,Building,rr_identity,mapped,mf_rr,Hidden Lakes,A,Bldg-Unit (split on '-'),Rent Roll Analysis,A273+,Bldg,"Source 'Bldg-Unit' (e.g. 'A1') splits: building prefix -> A, unit -> B. Hidden Lakes uses single-letter building + unit number."
rent_roll,rr_unit,Unit #,rr_identity,mapped,mf_rr,Hidden Lakes,A,Bldg-Unit (split on '-'),Rent Roll Analysis,B273+,Unit #,Unit portion of 'Bldg-Unit'.
rent_roll,rr_type,Unit Type,rr_identity,mapped,mf_rr,Hidden Lakes,B,"Unit Type (e.g. '1x1', '2x2')",Rent Roll Analysis,C273+,Type,MF floorplan code (bed x bath). Feeds the floor-plan rollups in Recapture & Upside / Rental Comps.
rent_roll,rr_sf,Square Feet,rr_identity,mapped,mf_rr,Hidden Lakes,C,SQFT,Rent Roll Analysis,D273+,SF,
rent_roll,rr_status,Unit Status,rr_status,proposed,mf_rr,Hidden Lakes,D,Unit Status,Rent Roll Analysis,E273+,Status,"Template's status taxonomy is matched by COUNTIF wildcards: 'Occupied*', 'Vacant Unrented Ready', 'Vacant Unrented Not Ready', 'Down*', 'Vacant*Leased*'/'Vacant Rented*', 'Model'/'Employee'/'Office', 'Occupied No Notice'. Operator 'Unit Status' values (e.g. 'Occupied No Notice', 'Vacant Unrented Not Ready') already align closely; a future normalizer should confirm/standardize the closed vocab. proposed until the status-string map is locked."
rent_roll,rr_resident,Resident,rr_identity,mapped,mf_rr,Hidden Lakes,E,Resident,Rent Roll Analysis,F273+,Resident,Vacant units show '-- Vacant --'. The '**' prefix convention drives the Legal flag (see rr_legal).
